,alex,andra,cosmin,costi,costis,daniel,diana,diana_c,f,ioana,mom,raed,raluca,stefan,test_person_1,tomsa_s,twin1,twin2,yt1,yt2,yt3,yt4,unknown
alex,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex(2),97.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.7
alex(h_m),90.3,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.5,0.0,0.5,0.0,0.0,0.0,0.0
alex(l_l),71.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0
alex96,93.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.9
andra,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosmin,5.7,0.0,80.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosmin(2),3.5,0.0,72.2,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
cosmin(h_m),0.0,0.0,84.8,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
costi,2.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
costi(2),2.1,0.0,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
costis,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daniel,0.0,0.0,0.0,0.0,0.0,91.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
