,FPR,TNR,FNR,TPR,Acuracy,Precision
FPR,4.4084195934524875,95.59,4.608802302245784,95.39119769775422,95.49059884887711,95.58272895918117
TNR,4.4084195934524875,95.59,4.608802302245784,95.39119769775422,95.49059884887711,95.58272895918117
FNR,4.4084195934524875,95.59,4.608802302245784,95.39119769775422,95.49059884887711,95.58272895918117
TPR,4.4084195934524875,95.59,4.608802302245784,95.39119769775422,95.49059884887711,95.58272895918117
Acuracy,4.4084195934524875,95.59,4.608802302245784,95.39119769775422,95.49059884887711,95.58272895918117
Precision,4.4084195934524875,95.59,4.608802302245784,95.39119769775422,95.49059884887711,95.58272895918117
