,Stefan,yt4,diana_c,diana,f,tomsa_s,costis,Raluca,cosmin,yt2,costi,alex,yt3,test_person_1,twin2,daniel,twin1,yt1,Mom,ioana,andra,raed
STDev,2.52826,2.03883,0.72231,0.5836,1.9209,2.06162,3.92267,2.10438,1.38198,4.47215,2.94307,3.07633,2.11682,2.80278,0.89679,0.25044,1.18845,3.96132,3.15298,3.54812,2.84253,2.95143
Median,1.40149,1.36917,1.52424,1.44173,1.38206,1.28992,1.35017,1.4249,1.31917,1.43755,1.34045,1.29075,1.40216,1.34313,1.3411,1.52813,1.30511,1.36092,1.37735,1.39671,1.40107,1.36284
Min,1.28818,1.30311,1.49247,1.32777,1.30241,1.24614,1.26248,1.35829,1.28851,1.22015,1.27061,1.23294,1.31395,1.26367,1.30721,1.52759,1.27221,1.25533,1.30115,1.20291,1.28076,1.27006
Avg,1.40188,1.36871,1.52182,1.44128,1.38319,1.29329,1.35389,1.42448,1.32364,1.43496,1.3485,1.29497,1.399,1.34824,1.33954,1.52892,1.3058,1.36221,1.3815,1.39188,1.39977,1.36143
Max,1.48853,1.42793,1.52833,1.45339,1.43123,1.40448,1.47809,1.4967,1.40466,1.5341,1.45019,1.41372,1.45097,1.41521,1.36546,1.54563,1.34962,1.60256,1.47547,1.44334,1.46249,1.45304
